trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
2.587640000000000079e-02	9.112839999999999829e-02	-2.980939999999999979e-02	-9.663350000000000238e-04	1.499469999999999926e-03	-1.359549999999999951e-03
2.851549999999999918e-02	1.391079999999999921e-02	-7.088360000000000494e-02	4.068809999999999961e-04	1.694769999999999957e-03	-1.046650000000000098e-03
2.588539999999999938e-02	1.392790000000000000e-02	-6.433709999999999429e-02	1.899650000000000015e-04	1.694769999999999957e-03	-1.359549999999999951e-03
1.128170000000000041e-02	7.768289999999999917e-02	-1.468019999999999915e-02	-5.504009999999999502e-04	1.528349999999999934e-03	-1.243490000000000090e-03
2.347739999999999896e-02	7.766860000000000430e-03	-5.361409999999999787e-02	4.868350000000000238e-04	1.694769999999999957e-03	-1.087450000000000005e-03
2.348269999999999871e-02	3.461270000000000319e-02	-3.881090000000000234e-02	5.135419999999999699e-04	1.694769999999999957e-03	-1.135179999999999956e-03
2.349230000000000068e-02	8.886990000000000167e-02	-2.320180000000000159e-02	-6.807020000000000431e-04	1.694769999999999957e-03	-1.101589999999999948e-03
4.542070000000000135e-02	1.321079999999999997e-02	-4.171520000000000089e-02	4.977830000000000145e-04	1.777799999999999953e-03	-1.078339999999999898e-03
3.740689999999999987e-02	6.073889999999999845e-02	-4.170660000000000339e-02	4.044610000000000024e-04	1.694769999999999957e-03	-1.230299999999999927e-03
4.109340000000000215e-02	9.235029999999999628e-02	-3.327070000000000027e-02	-5.607229999999999506e-04	1.694769999999999957e-03	-1.266240000000000074e-03
4.109999999999999765e-02	2.646940000000000057e-02	-6.231479999999999658e-02	5.786660000000000328e-04	1.904050000000000013e-03	-1.359549999999999951e-03
4.108540000000000109e-02	2.196719999999999923e-02	-5.683579999999999882e-02	4.820560000000000209e-04	1.694769999999999957e-03	-1.359549999999999951e-03
3.789590000000000319e-02	9.291829999999999534e-02	-3.634110000000000118e-02	-4.385980000000000044e-04	1.755559999999999976e-03	-1.275520000000000039e-03
4.110899999999999971e-02	1.929919999999999899e-02	-6.786179999999999990e-02	4.120770000000000054e-04	1.886599999999999996e-03	-1.198650000000000106e-03
4.801880000000000037e-02	4.140189999999999843e-02	-5.651939999999999742e-02	1.932319999999999958e-04	1.944750000000000081e-03	-1.359549999999999951e-03
3.706679999999999697e-02	7.787120000000000153e-02	-4.827889999999999959e-02	-5.366950000000000106e-04	1.853859999999999926e-03	-1.359549999999999951e-03
5.596330000000000054e-02	1.185010000000000056e-02	-6.938339999999999785e-02	3.315349999999999894e-04	2.141370000000000079e-03	-1.220310000000000058e-03
5.599740000000000273e-02	5.308140000000000081e-02	-6.535349999999999493e-02	2.350829999999999988e-04	2.297570000000000081e-03	-9.542310000000000462e-04
4.470860000000000112e-02	8.414629999999999332e-02	-3.450929999999999970e-02	-5.659089999999999650e-04	2.041170000000000137e-03	-1.282759999999999977e-03
5.597130000000000161e-02	-1.347710000000000054e-02	-6.292609999999999870e-02	4.673160000000000096e-04	2.341470000000000010e-03	-1.359549999999999951e-03
5.595640000000000336e-02	6.586680000000000312e-02	-5.981000000000000205e-02	-1.585249999999999908e-04	2.157989999999999822e-03	-1.359549999999999951e-03
3.567000000000000032e-02	6.584639999999999938e-02	-7.752570000000000294e-02	-6.451210000000000191e-05	2.244799999999999920e-03	-9.453060000000000325e-04
3.565859999999999863e-02	1.860140000000000057e-02	-8.154649999999999399e-02	5.701429999999999519e-04	2.244799999999999920e-03	-1.145680000000000049e-03
3.566269999999999857e-02	1.862650000000000070e-02	-8.951480000000000548e-02	3.951650000000000019e-04	2.244799999999999920e-03	-9.871920000000000174e-04
