component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_241	0	16.1322986172	0.0003232370	0.9672270564	True
t_comp_cor_242	0	16.0908231726	0.0003215771	0.9675486335	True
t_comp_cor_243	0	16.0340179687	0.0003193106	0.9678679441	True
t_comp_cor_244	0	15.9890272833	0.0003175212	0.9681854652	True
t_comp_cor_245	0	15.9512333442	0.0003160219	0.9685014871	True
t_comp_cor_246	0	15.9079916659	0.0003143108	0.9688157979	True
t_comp_cor_247	0	15.8316754590	0.0003113023	0.9691271002	True
t_comp_cor_248	0	15.8129132392	0.0003105649	0.9694376651	True
t_comp_cor_249	0	15.7806019994	0.0003092970	0.9697469621	True
t_comp_cor_250	0	15.7106702483	0.0003065618	0.9700535239	True
t_comp_cor_251	0	15.6629067255	0.0003047006	0.9703582245	True
t_comp_cor_252	0	15.6125079922	0.0003027429	0.9706609674	True
t_comp_cor_253	0	15.5922417699	0.0003019574	0.9709629248	True
t_comp_cor_254	0	15.4978482163	0.0002983125	0.9712612373	True
t_comp_cor_255	0	15.4476805384	0.0002963843	0.9715576216	True
t_comp_cor_256	0	15.4181956684	0.0002952539	0.9718528755	True
t_comp_cor_257	0	15.3505301855	0.0002926681	0.9721455436	True
t_comp_cor_258	0	15.3257902297	0.0002917255	0.9724372691	True
t_comp_cor_259	0	15.2977454784	0.0002906588	0.9727279279	True
t_comp_cor_260	0	15.1965950991	0.0002868278	0.9730147556	True
t_comp_cor_261	0	15.1390075279	0.0002846580	0.9732994136	True
t_comp_cor_262	0	15.1184938577	0.0002838871	0.9735833007	True
t_comp_cor_263	0	15.0752480299	0.0002822653	0.9738655660	True
t_comp_cor_264	0	15.0005947108	0.0002794767	0.9741450427	True
t_comp_cor_265	0	14.9623460382	0.0002780533	0.9744230960	True
t_comp_cor_266	0	14.9414078341	0.0002772756	0.9747003716	True
t_comp_cor_267	0	14.9159784144	0.0002763326	0.9749767041	True
t_comp_cor_268	0	14.8436833458	0.0002736604	0.9752503645	True
t_comp_cor_269	0	14.8199557921	0.0002727862	0.9755231507	True
t_comp_cor_270	0	14.7661287583	0.0002708083	0.9757939590	True
t_comp_cor_271	0	14.7385089641	0.0002697961	0.9760637551	True
t_comp_cor_272	0	14.6835252407	0.0002677869	0.9763315420	True
t_comp_cor_273	0	14.6519499355	0.0002666364	0.9765981784	True
t_comp_cor_274	0	14.5919958364	0.0002644588	0.9768626372	True
t_comp_cor_275	0	14.5319237078	0.0002622858	0.9771249230	True
t_comp_cor_276	0	14.4855569316	0.0002606147	0.9773855377	True
t_comp_cor_277	0	14.4717562522	0.0002601184	0.9776456561	True
t_comp_cor_278	0	14.4413292561	0.0002590257	0.9779046819	True
t_comp_cor_279	0	14.3926245490	0.0002572815	0.9781619634	True
t_comp_cor_280	0	14.3645178616	0.0002562776	0.9784182410	True
t_comp_cor_281	0	14.3219558142	0.0002547612	0.9786730022	True
t_comp_cor_282	0	14.2538829038	0.0002523452	0.9789253474	True
t_comp_cor_283	0	14.2470613734	0.0002521037	0.9791774511	True
t_comp_cor_284	0	14.1729979863	0.0002494894	0.9794269404	True
t_comp_cor_285	0	14.1288523898	0.0002479376	0.9796748780	True
t_comp_cor_286	0	14.0599453442	0.0002455251	0.9799204031	True
t_comp_cor_287	0	14.0161157059	0.0002439967	0.9801643998	True
t_comp_cor_288	0	13.9748940552	0.0002425636	0.9804069634	True
t_comp_cor_289	0	13.9415198070	0.0002414064	0.9806483698	True
t_comp_cor_290	0	13.9126760423	0.0002404086	0.9808887784	True
t_comp_cor_291	0	13.8684563775	0.0002388828	0.9811276612	True
t_comp_cor_292	0	13.8046861606	0.0002366910	0.9813643521	True
t_comp_cor_293	0	13.7874973750	0.0002361019	0.9816004540	True
t_comp_cor_294	0	13.7298057568	0.0002341302	0.9818345842	True
t_comp_cor_295	0	13.6575896835	0.0002316737	0.9820662579	True
t_comp_cor_296	0	13.6437775928	0.0002312053	0.9822974632	True
t_comp_cor_297	0	13.5980986125	0.0002296598	0.9825271230	True
t_comp_cor_298	0	13.5148636698	0.0002268569	0.9827539799	True
t_comp_cor_299	0	13.4251770085	0.0002238559	0.9829778359	True
t_comp_cor_300	0	13.4178378050	0.0002236113	0.9832014471	True
t_comp_cor_301	0	13.3695122900	0.0002220035	0.9834234506	True
t_comp_cor_302	0	13.3313939812	0.0002207393	0.9836441899	True
t_comp_cor_303	0	13.3095283338	0.0002200158	0.9838642057	True
t_comp_cor_304	0	13.2697298710	0.0002187020	0.9840829077	True
t_comp_cor_305	0	13.2248890283	0.0002172264	0.9843001342	True
t_comp_cor_306	0	13.1674800282	0.0002153446	0.9845154787	True
t_comp_cor_307	0	13.1157324236	0.0002136553	0.9847291340	True
t_comp_cor_308	0	13.0553165163	0.0002116915	0.9849408255	True
t_comp_cor_309	0	13.0160468904	0.0002104199	0.9851512454	True
t_comp_cor_310	0	13.0090796120	0.0002101947	0.9853614401	True
t_comp_cor_311	0	12.9220379440	0.0002073913	0.9855688315	True
t_comp_cor_312	0	12.8875426559	0.0002062856	0.9857751170	True
t_comp_cor_313	0	12.8558090954	0.0002052709	0.9859803879	True
t_comp_cor_314	0	12.8067847979	0.0002037083	0.9861840963	True
t_comp_cor_315	0	12.7792449344	0.0002028332	0.9863869295	True
t_comp_cor_316	0	12.7207615829	0.0002009809	0.9865879104	True
t_comp_cor_317	0	12.6785988945	0.0001996508	0.9867875612	True
t_comp_cor_318	0	12.6413207874	0.0001984785	0.9869860397	True
t_comp_cor_319	0	12.6009839205	0.0001972139	0.9871832536	True
t_comp_cor_320	0	12.5851913404	0.0001967199	0.9873799735	True
t_comp_cor_321	0	12.5077017284	0.0001943048	0.9875742783	True
t_comp_cor_322	0	12.4800117280	0.0001934455	0.9877677238	True
t_comp_cor_323	0	12.4180459824	0.0001915293	0.9879592531	True
t_comp_cor_324	0	12.4121673694	0.0001913480	0.9881506010	True
t_comp_cor_325	0	12.3429918514	0.0001892211	0.9883398221	True
t_comp_cor_326	0	12.2990872251	0.0001878773	0.9885276994	True
t_comp_cor_327	0	12.2666699637	0.0001868882	0.9887145877	True
t_comp_cor_328	0	12.2141855971	0.0001852924	0.9888998801	True
t_comp_cor_329	0	12.1852283167	0.0001844149	0.9890842949	True
t_comp_cor_330	0	12.1420994821	0.0001831117	0.9892674067	True
